                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.6752,                0.34819,                 1.0362,                0.99982,                      1,                  0.995,                 0.8376,                0.79151,                0.29878,                 1.0711,               0.005347,               0.005347,               0.005347
                     49,                0.67776,                0.35137,                 1.0412,                0.99986,                      1,                  0.995,                 0.8158,                0.82369,                0.30405,                 1.1332,               0.005248,               0.005248,               0.005248
                     50,                0.67131,                 0.3482,                  1.033,                0.99696,                0.99999,                  0.995,                0.82358,                0.84916,                0.31463,                 1.1421,               0.005149,               0.005149,               0.005149
                     51,                0.67238,                0.34724,                 1.0404,                0.99981,                      1,                  0.995,                 0.8339,                 0.7901,                0.28746,                 1.0917,                0.00505,                0.00505,                0.00505
                     52,                0.67147,                0.34435,                 1.0293,                0.99984,                      1,                  0.995,                0.83667,                0.79694,                0.29159,                 1.0881,               0.004951,               0.004951,               0.004951
                     53,                0.66493,                0.34506,                 1.0355,                      1,                0.99999,                  0.995,                0.83837,                0.79288,                0.29012,                 1.0805,               0.004852,               0.004852,               0.004852
                     54,                0.65356,                0.34194,                 1.0219,                 0.9998,                      1,                  0.995,                0.83308,                0.79539,                0.28479,                 1.0556,               0.004753,               0.004753,               0.004753
                     55,                0.64612,                0.33223,                 1.0158,                0.99981,                      1,                  0.995,                0.82039,                0.80734,                0.28703,                 1.0968,               0.004654,               0.004654,               0.004654
                     56,                0.64201,                0.33027,                 1.0204,                0.99981,                      1,                  0.995,                 0.8311,                0.79116,                0.28264,                 1.0898,               0.004555,               0.004555,               0.004555
                     57,                0.63489,                0.32778,                 1.0119,                0.99983,                      1,                  0.995,                0.83168,                0.79752,                0.28534,                 1.0784,               0.004456,               0.004456,               0.004456
                     58,                0.63343,                0.32115,                 1.0071,                0.99981,                      1,                  0.995,                0.83533,                 0.7929,                0.28134,                 1.0736,               0.004357,               0.004357,               0.004357
                     59,                0.62722,                 0.3275,                 1.0139,                0.99982,                      1,                  0.995,                0.82832,                0.80679,                0.28563,                 1.1097,               0.004258,               0.004258,               0.004258
                     60,                0.63377,                0.32744,                 1.0206,                0.99982,                      1,                  0.995,                0.83763,                0.78244,                0.28278,                 1.0882,               0.004159,               0.004159,               0.004159
                     61,                0.62409,                0.32326,                 1.0057,                0.99982,                      1,                  0.995,                0.83791,                0.78402,                0.27822,                 1.0842,                0.00406,                0.00406,                0.00406
                     62,                 0.6147,                0.31769,                0.99742,                 0.9998,                      1,                  0.995,                0.83295,                0.76999,                0.27042,                 1.0579,               0.003961,               0.003961,               0.003961
                     63,                0.61263,                 0.3158,                0.99918,                0.99982,                      1,                  0.995,                0.82077,                0.79664,                0.27635,                 1.0763,               0.003862,               0.003862,               0.003862
                     64,                0.59767,                0.30218,                0.98663,                0.99981,                      1,                  0.995,                0.82971,                0.79858,                0.27534,                 1.0867,               0.003763,               0.003763,               0.003763
                     65,                 0.5993,                0.31058,                0.99248,                 0.9998,                      1,                  0.995,                0.81534,                0.79454,                 0.2766,                 1.1051,               0.003664,               0.003664,               0.003664
                     66,                0.59737,                0.30842,                0.99147,                0.99982,                      1,                  0.995,                0.82524,                0.79922,                0.27681,                 1.1255,               0.003565,               0.003565,               0.003565
                     67,                  0.596,                0.30502,                0.99229,                 0.9998,                      1,                  0.995,                0.81921,                 0.7927,                0.27624,                 1.0988,               0.003466,               0.003466,               0.003466
                     68,                0.59112,                  0.298,                0.98724,                0.99979,                      1,                  0.995,                0.82107,                0.81858,                0.27632,                  1.105,               0.003367,               0.003367,               0.003367
                     69,                0.59092,                0.30135,                0.98402,                0.99978,                      1,                  0.995,                0.82646,                0.79126,                0.27054,                 1.0759,               0.003268,               0.003268,               0.003268
                     70,                0.59076,                0.30578,                 0.9817,                0.99978,                      1,                  0.995,                0.82839,                 0.7925,                0.26917,                 1.0566,               0.003169,               0.003169,               0.003169
                     71,                0.57871,                0.29976,                0.97453,                0.99979,                      1,                  0.995,                0.83239,                0.78809,                0.27238,                 1.0589,                0.00307,                0.00307,                0.00307
                     72,                0.57395,                0.29735,                0.97128,                0.99982,                      1,                  0.995,                0.83159,                0.78482,                0.26534,                 1.0645,               0.002971,               0.002971,               0.002971
                     73,                0.56892,                 0.2918,                0.96705,                 0.9998,                      1,                  0.995,                0.83316,                0.77629,                0.26532,                 1.0534,               0.002872,               0.002872,               0.002872
                     74,                0.56312,                0.28817,                0.97033,                0.99982,                      1,                  0.995,                0.83342,                  0.791,                0.27005,                 1.0876,               0.002773,               0.002773,               0.002773
                     75,                 0.5512,                0.28141,                0.96731,                0.99982,                      1,                  0.995,                0.83874,                0.77981,                 0.2634,                 1.0763,               0.002674,               0.002674,               0.002674
                     76,                0.55678,                0.28617,                 0.9619,                0.99982,                      1,                  0.995,                  0.837,                0.77923,                0.25958,                 1.0509,               0.002575,               0.002575,               0.002575
                     77,                 0.5516,                0.28059,                0.95557,                0.99982,                      1,                  0.995,                0.83818,                0.77782,                0.25626,                 1.0514,               0.002476,               0.002476,               0.002476
                     78,                0.55275,                0.28154,                  0.963,                0.99981,                      1,                  0.995,                0.83222,                0.77886,                0.25759,                 1.0536,               0.002377,               0.002377,               0.002377
                     79,                0.54155,                0.27548,                0.95383,                0.99983,                      1,                  0.995,                0.83038,                 0.7844,                0.26138,                 1.0706,               0.002278,               0.002278,               0.002278
