                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.1226,                0.49572,                0.93604,                0.97345,                0.97339,                0.96845,                 0.6868,                 1.0708,                0.45897,                0.95885,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.1036,                0.48786,                0.92607,                0.97344,                0.97298,                0.97813,                0.71187,                 1.0945,                0.47287,                0.96301,               0.009505,               0.009505,               0.009505
                     53,                 1.1091,                0.49725,                 0.9222,                0.97253,                 0.9646,                0.97145,                 0.7151,                 1.0434,                0.46416,                0.94939,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.122,                0.49604,                0.92925,                0.97352,                 0.9762,                0.98214,                0.71817,                 1.0958,                0.47993,                0.97072,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.1266,                0.50372,                 0.9387,                0.97296,                0.97345,                0.97379,                0.72524,                 1.0554,                0.47668,                0.95569,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.0987,                0.49795,                0.92221,                0.96489,                 0.9728,                0.97554,                0.71547,                 1.0438,                0.46847,                0.95353,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.1188,                0.49871,                  0.929,                0.97192,                 0.9646,                 0.9818,                0.68672,                 1.0987,                0.49143,                0.97558,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.0691,                0.48611,                0.91019,                0.97256,                 0.9646,                0.96054,                0.70721,                 1.0938,                0.49145,                 0.9765,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.1044,                0.48213,                 0.9305,                0.97194,                0.97345,                0.97543,                0.70448,                 1.0677,                0.45949,                0.96667,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.0989,                0.48658,                0.92172,                0.96369,                0.95575,                0.96618,                0.68994,                 1.1545,                0.51078,                0.98166,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0803,                0.48048,                0.92216,                0.97288,                0.97345,                0.97707,                 0.6993,                  1.151,                0.48755,                0.99517,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.0944,                0.48247,                0.92949,                 0.9728,                0.97345,                0.96404,                0.69894,                 1.0509,                0.46415,                0.95725,               0.009406,               0.009406,               0.009406
                     63,                 1.0756,                0.48449,                0.92978,                0.97343,                0.97281,                0.96191,                0.69966,                 1.1071,                0.47008,                0.96296,              0.0093961,              0.0093961,              0.0093961
                     64,                  1.069,                0.48913,                0.91179,                0.97001,                0.97345,                0.96514,                 0.7006,                 1.0636,                 0.4927,                0.96493,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0844,                  0.491,                0.92046,                 0.9652,                0.98189,                0.97353,                0.68475,                 1.1284,                0.47466,                0.97337,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0716,                0.47647,                0.91509,                0.97367,                0.98194,                0.97674,                0.70501,                 1.0716,                0.46332,                0.97105,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0694,                0.48128,                0.91839,                0.97366,                0.98156,                0.96768,                 0.6886,                 1.0879,                0.45422,                0.97633,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0847,                0.47921,                0.92351,                0.97314,                0.97345,                0.96981,                0.69229,                 1.1674,                0.49114,                0.98345,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0598,                0.47013,                 0.9142,                0.97246,                0.97345,                 0.9725,                0.71697,                 1.0743,                0.45975,                0.96532,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0608,                0.47026,                0.91366,                0.97299,                0.97345,                0.97353,                0.71115,                  1.063,                0.45881,                0.95799,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0455,                0.47214,                0.91284,                0.97223,                0.97345,                0.96456,                0.67339,                  1.199,                0.50596,                 1.0028,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0683,                0.47144,                 0.9183,                0.97343,                0.97282,                0.97648,                0.71429,                 1.0967,                0.48143,                0.95977,               0.009307,               0.009307,               0.009307
                     73,                 1.0376,                0.46456,                0.90813,                0.97235,                 0.9646,                0.96971,                0.69323,                  1.119,                0.48001,                0.97018,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0346,                0.45652,                0.91103,                0.97259,                 0.9646,                0.96658,                 0.7035,                   1.12,                0.48869,                 0.9763,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.0506,                0.46396,                0.91385,                0.97243,                 0.9646,                0.97815,                 0.7169,                 1.0777,                0.45599,                0.96452,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0356,                0.46023,                0.91086,                0.97111,                 0.9823,                0.97233,                0.69258,                  1.084,                0.44197,                0.97065,              0.0092674,              0.0092674,              0.0092674
