                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.77689,                0.38116,                0.81636,                0.99256,                      1,                0.99486,                0.75908,                 1.0018,                0.41957,                0.82161,              0.0006932,              0.0006932,              0.0006932
                     69,                0.77013,                0.37967,                0.81164,                0.99151,                      1,                0.99458,                 0.7243,                 1.0563,                0.43384,                0.83442,              0.0006734,              0.0006734,              0.0006734
                     70,                0.77208,                0.37488,                0.81705,                 0.9924,                      1,                0.99451,                0.74919,                 0.9956,                0.40573,                0.82601,              0.0006536,              0.0006536,              0.0006536
                     71,                0.74021,                0.36781,                0.81155,                0.99252,                      1,                0.99465,                0.76356,                0.96879,                0.40764,                0.82205,              0.0006338,              0.0006338,              0.0006338
                     72,                0.74889,                0.37493,                0.80685,                0.99257,                      1,                0.99486,                0.75386,                 1.0107,                0.42358,                0.82264,               0.000614,               0.000614,               0.000614
                     73,                0.73351,                0.36218,                0.81541,                0.99258,                      1,                0.99493,                0.78163,                0.94517,                0.40023,                0.81712,              0.0005942,              0.0005942,              0.0005942
                     74,                0.73924,                0.36413,                0.81312,                 0.9924,                      1,                  0.995,                0.76185,                0.96859,                0.40938,                0.82421,              0.0005744,              0.0005744,              0.0005744
                     75,                0.73754,                0.36391,                0.80946,                0.99235,                      1,                0.99472,                0.76294,                 0.9723,                0.40262,                0.82022,              0.0005546,              0.0005546,              0.0005546
                     76,                0.72845,                0.36049,                0.80333,                0.99247,                      1,                0.99472,                0.76182,                0.97611,                0.40109,                0.81808,              0.0005348,              0.0005348,              0.0005348
                     77,                0.70473,                0.35126,                0.80396,                0.99253,                      1,                0.99451,                0.76245,                0.99625,                0.40407,                0.82418,               0.000515,               0.000515,               0.000515
                     78,                 0.7022,                0.35281,                 0.8025,                  0.988,                      1,                0.99318,                0.73857,                 1.0329,                0.42743,                0.82578,              0.0004952,              0.0004952,              0.0004952
                     79,                0.70065,                0.35141,                0.80454,                0.99239,                      1,                0.99416,                0.75743,                0.97983,                0.41259,                 0.8251,              0.0004754,              0.0004754,              0.0004754
                     80,                0.68588,                0.34626,                0.80083,                0.99239,                      1,                0.99486,                0.74044,                 1.0578,                0.41944,                0.83231,              0.0004556,              0.0004556,              0.0004556
                     81,                0.66928,                0.34255,                0.80039,                 0.9921,                      1,                0.99486,                 0.7622,                0.97479,                0.40408,                0.82197,              0.0004358,              0.0004358,              0.0004358
                     82,                0.66717,                0.34012,                0.80767,                0.99248,                      1,                0.99465,                0.75179,                 1.0055,                0.40925,                0.82547,               0.000416,               0.000416,               0.000416
                     83,                0.65121,                0.33446,                0.79805,                 0.9924,                      1,                0.99479,                0.75416,                0.97692,                0.40396,                0.82635,              0.0003962,              0.0003962,              0.0003962
                     84,                0.65342,                0.33502,                0.80229,                0.99233,                      1,                0.99472,                0.73493,                 1.0171,                0.41037,                0.82969,              0.0003764,              0.0003764,              0.0003764
                     85,                0.62923,                0.32933,                0.80241,                 0.9925,                      1,                0.99437,                0.75764,                0.98387,                0.39438,                0.82645,              0.0003566,              0.0003566,              0.0003566
                     86,                0.61727,                0.32017,                0.79573,                0.99167,                      1,                0.99388,                0.75287,                0.99056,                0.39702,                0.82655,              0.0003368,              0.0003368,              0.0003368
                     87,                0.62467,                0.32154,                0.79326,                0.99218,                      1,                0.99458,                0.75675,                0.98574,                0.40606,                0.82494,               0.000317,               0.000317,               0.000317
